R1_USB	1.57	11.43	270.00	5K1	CPF0201D7K68C1_0201
R2	-14.64	13.30	270.00	0	CPF0201D7K68C1_0201
R2_EP_DR	-15.24	-8.89	270.00	10K	CPF0201D7K68C1_0201
R2_USB	-2.54	12.70	270.00	5K1	CPF0201D7K68C1_0201
R3	-10.16	15.24	270.00	0	CPF0201D7K68C1_0201
R4	-15.04	12.50	270.00	0	CPF0201D7K68C1_0201
R5	7.99	-12.70	270.00	10K	CPF0201D7K68C1_0201
R7	-9.19	-13.97	90.00	10K	CPF0201D7K68C1_0201
R8	-2.54	-12.70	270.00	10K	CPF0201D7K68C1_0201
R9	-11.43	11.43	180.00	10K	CPF0201D7K68C1_0201
R_PWR_EPD	10.16	-5.08	180.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	-10.22	-6.57	180.00	2.2	CPF0201D7K68C1_0201
SJ1	-8.89	-5.08	270.00	0	ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	-12.50	-15.09	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	-1.39	-14.87	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	9.56	-14.87	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	15.07	-3.04	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	-8.89	6.35	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	1.27	-11.43	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	0.00	6.35	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	15.24	-16.51	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	17.78	-15.24	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	19.05	-12.70	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	10.00	-11.00	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	-13.10	15.24	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	19.05	-2.54	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	16.51	-1.27	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	5.14	-11.05	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	-21.59	12.83	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	-21.59	8.89	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U$1	0.00	0.00	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	-17.78	13.97	0.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	6.35	5.08	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	-7.30	1.90	90.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
